symbol,name,master_exchange,sector,industry,price_proxy,previous_close,share_volume,market_cap,one_yr_target,url,json_path
CMG,CHIPOTLE MEXICAN GRILL INC,NYSE,Consumer Discretionary,Restaurants,32.8,32.8,18632034.0,42189121260.0,44.0,https://api.nasdaq.com/api/quote/CMG/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CMG/nasdaq_summary.json
CMS,CMS ENERGY CORP,NYSE,Utilities,Power Generation,73.64,73.64,2154140.0,23023777937.0,82.0,https://api.nasdaq.com/api/quote/CMS/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CMS/nasdaq_summary.json
CNC,CENTENE CORP,NYSE,Health Care,Medical Specialities,57.77,57.77,2917631.0,29203154580.0,55.5,https://api.nasdaq.com/api/quote/CNC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CNC/nasdaq_summary.json
CNH,CNH Industrial N.V.,NYSE,Industrials,Construction/Ag Equipment/Trucks,10.15,10.15,8424691.0,12535899929.0,12.0,https://api.nasdaq.com/api/quote/CNH/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CNH/nasdaq_summary.json
CNK,"Cinemark Holdings, Inc.",NYSE,Consumer Discretionary,Movies/Entertainment,26.6,26.6,2247399.0,3086700470.0,36.0,https://api.nasdaq.com/api/quote/CNK/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CNK/nasdaq_summary.json
CNM,"Core & Main, Inc.",NYSE,Consumer Discretionary,Durable Goods,47.16,47.16,1342153.0,9193539606.0,62.5,https://api.nasdaq.com/api/quote/CNM/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CNM/nasdaq_summary.json
CNP,CENTERPOINT ENERGY INC,NYSE,Utilities,Electric Utilities: Central,42.47,42.47,4955621.0,28018078828.0,47.0,https://api.nasdaq.com/api/quote/CNP/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CNP/nasdaq_summary.json
CNQ,CANADIAN NATURAL RESOURCES LTD,NYSE,Energy,Oil & Gas Production,48.69,48.69,7172261.0,101399098920.0,51.6,https://api.nasdaq.com/api/quote/CNQ/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CNQ/nasdaq_summary.json
CNX,CNX Resources Corp,NYSE,Energy,Oil & Gas Production,35.55,35.55,1002097.0,4995573844.0,38.0,https://api.nasdaq.com/api/quote/CNX/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CNX/nasdaq_summary.json
COLD,AMERICOLD REALTY TRUST,NYSE,Real Estate,Real Estate Investment Trusts,14.44,14.44,3712582.0,4225382630.0,15.0,https://api.nasdaq.com/api/quote/COLD/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/COLD/nasdaq_summary.json
CPNG,"Coupang, Inc.",NYSE,Consumer Discretionary,Catalog/Specialty Distribution,15.73,15.73,16372274.0,28936434920.0,28.0,https://api.nasdaq.com/api/quote/CPNG/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CPNG/nasdaq_summary.json
CPRI,Capri Holdings Ltd,NYSE,Consumer Discretionary,Apparel,18.38,18.38,2465338.0,2202111265.0,24.0,https://api.nasdaq.com/api/quote/CPRI/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CPRI/nasdaq_summary.json
CRBG,"Corebridge Financial, Inc.",NYSE,Finance,Life Insurance,27.65,27.65,5740011.0,12669776777.0,35.0,https://api.nasdaq.com/api/quote/CRBG/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CRBG/nasdaq_summary.json
CRGY,Crescent Energy Co,NYSE,Energy,Oil & Gas Production,13.1,13.1,6512950.0,4359321490.0,18.0,https://api.nasdaq.com/api/quote/CRGY/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CRGY/nasdaq_summary.json
CRK,COMSTOCK RESOURCES INC,NYSE,Energy,Oil & Gas Production,14.11,14.11,3409030.0,4094119898.0,19.0,https://api.nasdaq.com/api/quote/CRK/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CRK/nasdaq_summary.json
CSTM,CONSTELLIUM SE,NYSE,Industrials,Metal Fabrications,32.04,32.04,3138873.0,4525640958.0,38.0,https://api.nasdaq.com/api/quote/CSTM/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CSTM/nasdaq_summary.json
CTRE,"CareTrust REIT, Inc.",NYSE,Real Estate,Real Estate Investment Trusts,41.01,41.01,1714078.0,9718923268.0,42.5,https://api.nasdaq.com/api/quote/CTRE/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CTRE/nasdaq_summary.json
CTRI,"Centuri Holdings, Inc.",NYSE,Utilities,Oil & Gas Production,30.18,30.18,1099029.0,3048226792.0,36.0,https://api.nasdaq.com/api/quote/CTRI/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CTRI/nasdaq_summary.json
CUBE,CubeSmart,NYSE,Real Estate,Real Estate Investment Trusts,40.11,40.11,1364626.0,9072394154.0,42.5,https://api.nasdaq.com/api/quote/CUBE/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CUBE/nasdaq_summary.json
CUZ,COUSINS PROPERTIES INC,NYSE,Real Estate,Real Estate Investment Trusts,26.42,26.42,1260637.0,4360318825.0,28.0,https://api.nasdaq.com/api/quote/CUZ/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CUZ/nasdaq_summary.json
CVE,CENOVUS ENERGY INC.,NYSE,Energy,Oil & Gas Production,30.3,30.3,7378280.0,56343750000.0,32.12,https://api.nasdaq.com/api/quote/CVE/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CVE/nasdaq_summary.json
CVNA,CARVANA CO.,NYSE,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,64.39,64.39,9368571.0,74891944327.0,94.0,https://api.nasdaq.com/api/quote/CVNA/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CVNA/nasdaq_summary.json
CWAN,"Clearwater Analytics Holdings, Inc.",NYSE,Technology,Computer Software: Prepackaged Software,24.36,24.36,1318554.0,7259235237.0,24.55,https://api.nasdaq.com/api/quote/CWAN/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CWAN/nasdaq_summary.json
CWK,Cushman & Wakefield Ltd.,NYSE,Finance,Real Estate,12.82,12.82,1294507.0,3020133509.0,18.5,https://api.nasdaq.com/api/quote/CWK/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CWK/nasdaq_summary.json
CX,CEMEX SAB DE CV,NYSE,Industrials,Building Materials,12.59,12.59,5796215.0,19039906404.0,14.62,https://api.nasdaq.com/api/quote/CX/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CX/nasdaq_summary.json
D,"DOMINION ENERGY, INC",NYSE,Utilities,Electric Utilities: Central,68.29,68.29,6459933.0,59512747121.0,67.0,https://api.nasdaq.com/api/quote/D/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/D/nasdaq_summary.json
DAR,DARLING INGREDIENTS INC.,NYSE,Consumer Staples,Packaged Foods,57.86,57.86,1965398.0,9313143472.0,77.0,https://api.nasdaq.com/api/quote/DAR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/DAR/nasdaq_summary.json
DB,DEUTSCHE BANK AKTIENGESELLSCHAFT,NYSE,Finance,Major Banks,32.9,32.9,2051353.0,61013802000.0,44.0,https://api.nasdaq.com/api/quote/DB/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/DB/nasdaq_summary.json
DBRG,"DigitalBridge Group, Inc.",NYSE,Real Estate,Real Estate Investment Trusts,15.7,15.7,1313047.0,2865070121.0,16.0,https://api.nasdaq.com/api/quote/DBRG/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/DBRG/nasdaq_summary.json
DD,"DuPont de Nemours, Inc.",NYSE,Industrials,Major Chemicals,47.15,47.15,2276946.0,19725413245.0,56.5,https://api.nasdaq.com/api/quote/DD/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/DD/nasdaq_summary.json
DEI,Douglas Emmett Inc,NYSE,Real Estate,Real Estate Investment Trusts,11.46,11.46,1581979.0,1919381160.0,12.5,https://api.nasdaq.com/api/quote/DEI/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/DEI/nasdaq_summary.json
DHT,"DHT Holdings, Inc.",NYSE,Consumer Discretionary,Marine Transportation,17.76,17.76,2404221.0,2798903651.0,20.0,https://api.nasdaq.com/api/quote/DHT/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/DHT/nasdaq_summary.json
DINO,HF Sinclair Corp,NYSE,Energy,Natural Gas Distribution,68.39,68.39,1192019.0,12603055801.0,74.0,https://api.nasdaq.com/api/quote/DINO/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/DINO/nasdaq_summary.json
DNOW,DNOW Inc.,NYSE,Consumer Discretionary,Oil and Gas Field Machinery,12.89,12.89,2192458.0,2385876011.0,16.0,https://api.nasdaq.com/api/quote/DNOW/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/DNOW/nasdaq_summary.json
DOC,"HEALTHPEAK PROPERTIES, INC.",NYSE,Real Estate,Real Estate Investment Trusts,19.64,19.64,5630977.0,13602250720.0,20.0,https://api.nasdaq.com/api/quote/DOC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/DOC/nasdaq_summary.json
DOCS,"Doximity, Inc.",NYSE,Technology,EDP Services,19.39,19.39,3475747.0,3646468617.0,24.0,https://api.nasdaq.com/api/quote/DOCS/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/DOCS/nasdaq_summary.json
DOW,DOW INC.,NYSE,Industrials,Major Chemicals,35.91,35.91,9011924.0,25953899182.0,42.0,https://api.nasdaq.com/api/quote/DOW/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/DOW/nasdaq_summary.json
DT,"Dynatrace, Inc.",NYSE,Technology,Computer Software: Prepackaged Software,39.15,39.15,4502299.0,12011714957.0,45.0,https://api.nasdaq.com/api/quote/DT/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/DT/nasdaq_summary.json
DVN,DEVON ENERGY CORP/DE,NYSE,Energy,Oil & Gas Production,47.11,47.11,9123320.0,29345113977.0,60.5,https://api.nasdaq.com/api/quote/DVN/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/DVN/nasdaq_summary.json
DX,DYNEX CAPITAL INC,NYSE,Real Estate,Real Estate Investment Trusts,12.85,12.85,4838385.0,2736719537.0,14.75,https://api.nasdaq.com/api/quote/DX/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/DX/nasdaq_summary.json
EC,ECOPETROL S.A.,NYSE,Energy,Oil & Gas Production,13.86,13.86,1800187.0,28473311080.0,13.0,https://api.nasdaq.com/api/quote/EC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/EC/nasdaq_summary.json
ECVT,Ecovyst Inc.,NYSE,Industrials,Major Chemicals,13.33,13.33,3065903.0,1511552614.0,16.0,https://api.nasdaq.com/api/quote/ECVT/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ECVT/nasdaq_summary.json
EDU,New Oriental Education & Technology Group Inc.,NYSE,Real Estate,Other Consumer Services,47.56,47.56,1312192.0,18472842606.0,69.0,https://api.nasdaq.com/api/quote/EDU/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/EDU/nasdaq_summary.json
EFC,Ellington Financial Inc.,NYSE,Finance,Real Estate,13.57,13.57,1063200.0,1691559988.0,14.75,https://api.nasdaq.com/api/quote/EFC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/EFC/nasdaq_summary.json
EIX,EDISON INTERNATIONAL,NYSE,Utilities,Electric Utilities: Central,70.32,70.32,1767719.0,27389632720.0,77.5,https://api.nasdaq.com/api/quote/EIX/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/EIX/nasdaq_summary.json
ELAN,Elanco Animal Health Inc,NYSE,Health Care,Biotechnology: Pharmaceutical Preparations,21.32,21.32,5829024.0,10853039439.0,30.0,https://api.nasdaq.com/api/quote/ELAN/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ELAN/nasdaq_summary.json
ELF,"e.l.f. Beauty, Inc.",NYSE,Consumer Discretionary,Package Goods/Cosmetics,53.12,53.12,5181908.0,3123863443.0,85.0,https://api.nasdaq.com/api/quote/ELF/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ELF/nasdaq_summary.json
ELS,EQUITY LIFESTYLE PROPERTIES INC,NYSE,Real Estate,Real Estate Investment Trusts,63.06,63.06,1150363.0,12324731493.0,70.0,https://api.nasdaq.com/api/quote/ELS/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ELS/nasdaq_summary.json
