symbol,name,master_exchange,sector,industry,price_proxy,previous_close,share_volume,market_cap,one_yr_target,url,json_path,barchart_url,barchart_fetch_ok,barchart_fetch_round,barchart_fetch_error,barchart_implied_volatility,barchart_historical_volatility,barchart_iv_percentile,barchart_iv_rank,barchart_iv_high,barchart_iv_low,barchart_expected_move,barchart_missing_fields,options_liquidity_source,options_liquidity_fetch_ok,options_liquidity_fetch_error,options_volume,open_interest,atm_bid_ask_spread,legacy_stage1_market_cap,legacy_stage1_reasons,options_liquidity_missing_fields,stage1_step4_implied_volatility,stage1_step4_min_implied_volatility,stage1_step4_min_options_volume,stage1_step4_min_open_interest,stage1_step4_min_market_cap,stage1_step4_market_cap_checked,stage1_step4_verdict,stage1_step4_fail_reason
IRDM,Iridium Communications Inc.,NASDAQ,Telecommunications,Telecommunications Equipment,45.7,45.7,2247350.0,5163743017.0,39.0,https://api.nasdaq.com/api/quote/IRDM/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/IRDM/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/IRDM/overview,TRUE,0,,80.7,64.44,99.0,99.82,80.78,35.16,,,cache,TRUE,,3195,17554,0.2999999999999998,5160000000.0,,,80.7,75.0,1000,1000,1000000000.0,5160000000.0,PASS,
IREN,IREN Ltd,NASDAQ,Technology,EDP Services,58.06,58.06,36374598.0,20309830043.0,80.0,https://api.nasdaq.com/api/quote/IREN/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/IREN/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/IREN/overview,TRUE,0,,99.49,105.86,29.0,33.26,143.04,77.78,,,cache,TRUE,,145278,189627,0.16999999999999993,20280000000.0,,,99.49,75.0,1000,1000,1000000000.0,20280000000.0,PASS,
LPTH,LIGHTPATH TECHNOLOGIES INC,NASDAQ,Technology,Semiconductors,14.28,14.28,7850173.0,1064280449.0,15.95,https://api.nasdaq.com/api/quote/LPTH/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/LPTH/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/LPTH/overview,TRUE,0,,129.33,113.67,79.0,16.48,313.78,92.94,,,cache,TRUE,,10845,35377,0.8999999999999999,1060000000.0,,,129.33,75.0,1000,1000,1000000000.0,1060000000.0,PASS,
LUNR,"Intuitive Machines, Inc.",NASDAQ,Industrials,Industrial Machinery/Components,34.24,34.24,14814308.0,8303221509.0,42.0,https://api.nasdaq.com/api/quote/LUNR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/LUNR/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/LUNR/overview,TRUE,0,,128.57,103.03,96.0,74.58,153.97,54.08,,,cache,TRUE,,15162,25053,0.3899999999999997,8300000000.000001,,,128.57,75.0,1000,1000,1000000000.0,8300000000.000001,PASS,
LWLG,"Lightwave Logic, Inc.",NASDAQ,Industrials,Containers/Packaging,13.17,13.17,6633844.0,1979923271.0,,https://api.nasdaq.com/api/quote/LWLG/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/LWLG/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/LWLG/overview,TRUE,0,,139.96,150.35,73.0,62.04,177.3,78.96,,,cache,TRUE,,4813,47239,0.2999999999999998,1980000000.0,,,139.96,75.0,1000,1000,1000000000.0,1980000000.0,PASS,
MARA,"MARA Holdings, Inc.",NASDAQ,Technology,EDP Services,13.55,13.55,40169136.0,5265345646.0,15.5,https://api.nasdaq.com/api/quote/MARA/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/MARA/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/MARA/overview,TRUE,0,,81.04,68.47,37.0,30.67,130.27,59.26,,,cache,TRUE,,88983,164141,0.030000000000000027,5270000000.0,,,81.04,75.0,1000,1000,1000000000.0,5270000000.0,PASS,
NNE,Nano Nuclear Energy Inc.,NASDAQ,Utilities,Electric Utilities: Central,25.08,25.08,2138422.0,1392186449.0,45.5,https://api.nasdaq.com/api/quote/NNE/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/NNE/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/NNE/overview,TRUE,0,,96.27,115.14,58.0,38.81,132.6,73.22,,,cache,TRUE,,2815,6380,0.3500000000000001,1390000000.0,,,96.27,75.0,1000,1000,1000000000.0,1390000000.0,PASS,
NVTS,Navitas Semiconductor Corp,NASDAQ,Technology,Semiconductors,24.38,24.38,51184372.0,6836110106.0,12.5,https://api.nasdaq.com/api/quote/NVTS/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/NVTS/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/NVTS/overview,TRUE,0,,145.92,161.41,95.0,58.47,196.43,74.8,,,cache,TRUE,,36403,34655,0.31000000000000005,6840000000.0,,,145.92,75.0,1000,1000,1000000000.0,6840000000.0,PASS,
OUST,"Ouster, Inc.",NASDAQ,Industrials,Industrial Machinery/Components,35.09,35.09,5490752.0,2349964200.0,40.0,https://api.nasdaq.com/api/quote/OUST/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/OUST/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/OUST/overview,TRUE,0,,112.23,115.49,73.0,59.76,136.9,75.59,,,cache,TRUE,,5943,5386,0.5,2360000000.0,,,112.23,75.0,1000,1000,1000000000.0,2360000000.0,PASS,
PCT,"PureCycle Technologies, Inc.",NASDAQ,Industrials,Major Chemicals,11.33,11.33,3915233.0,2047375386.0,14.0,https://api.nasdaq.com/api/quote/PCT/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/PCT/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/PCT/overview,TRUE,0,,94.79,86.7,63.0,61.05,125.37,46.85,,,cache,TRUE,,7452,11208,0.09999999999999998,2049999999.9999998,,,94.79,75.0,1000,1000,1000000000.0,2049999999.9999998,PASS,
