symbol,name,master_exchange,sector,industry,price_proxy,previous_close,share_volume,market_cap,one_yr_target,url,json_path,barchart_url,barchart_fetch_ok,barchart_fetch_round,barchart_fetch_error,barchart_implied_volatility,barchart_historical_volatility,barchart_iv_percentile,barchart_iv_rank,barchart_iv_high,barchart_iv_low,barchart_expected_move,barchart_missing_fields,stage1_step4_implied_volatility,stage1_step4_min_implied_volatility,stage1_step4_verdict,stage1_step4_fail_reason
ERAS,"Erasca, Inc.",NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,11.605,11.605,2494082.0,3495466252.0,20.0,https://api.nasdaq.com/api/quote/ERAS/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ERAS/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/ERAS/overview,TRUE,0,,92.07,211.65,3.0,3.54,445.66,79.11,,,92.07,75.0,PASS,
FCEL,FUELCELL ENERGY INC,NASDAQ,Energy,Industrial Machinery/Components,26.38,26.38,12077530.0,1324976429.0,7.62,https://api.nasdaq.com/api/quote/FCEL/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/FCEL/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/FCEL/overview,TRUE,0,,172.84,173.56,96.0,74.46,206.84,73.72,,,172.84,75.0,PASS,
FIGR,"Figure Technology Solutions, Inc.",NASDAQ,Finance,Finance: Consumer Services,34.38,34.38,2503883.0,7486511274.0,55.0,https://api.nasdaq.com/api/quote/FIGR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/FIGR/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/FIGR/overview,TRUE,0,,82.15,66.61,15.0,14.76,133.39,73.27,,,82.15,75.0,PASS,
FIVN,"Five9, Inc.",NASDAQ,Technology,EDP Services,21.84,21.84,2377847.0,1742596367.0,25.0,https://api.nasdaq.com/api/quote/FIVN/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/FIVN/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/FIVN/overview,TRUE,0,,75.67,91.99,75.0,67.23,88.74,48.88,,,75.67,75.0,PASS,
FLNC,"Fluence Energy, Inc.",NASDAQ,Miscellaneous,Industrial Machinery/Components,20.19,20.19,10969377.0,3960183368.0,17.0,https://api.nasdaq.com/api/quote/FLNC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/FLNC/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/FLNC/overview,TRUE,0,,117.11,148.38,79.0,64.85,140.36,74.2,,,117.11,75.0,PASS,
FLY,Firefly Aerospace Inc.,NASDAQ,Industrials,Military/Government/Technical,42.86,42.86,8823162.0,7931643242.0,36.0,https://api.nasdaq.com/api/quote/FLY/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/FLY/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/FLY/overview,TRUE,0,,123.83,109.86,75.0,69.97,147.81,67.93,,,123.83,75.0,PASS,
FRVO,Fervo Energy Co,NASDAQ,Utilities,Electric Utilities: Central,42.5,42.5,3402580.0,10874615471.0,,https://api.nasdaq.com/api/quote/FRVO/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/FRVO/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/FRVO/overview,TRUE,2,,115.44,,67.0,69.03,120.02,105.23,,barchart_historical_volatility,115.44,75.0,PASS,
FSLY,"Fastly, Inc.",NASDAQ,Technology,Computer Software: Prepackaged Software,16.4,16.4,5942212.0,2554080000.0,24.0,https://api.nasdaq.com/api/quote/FSLY/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/FSLY/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/FSLY/overview,TRUE,0,,80.35,170.76,49.0,26.07,177.58,46.06,,,80.35,75.0,PASS,
GLXY,Galaxy Digital Inc.,NASDAQ,Finance,Investment Bankers/Brokers/Service,29.57,29.57,4068355.0,11190985955.0,42.5,https://api.nasdaq.com/api/quote/GLXY/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/GLXY/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/GLXY/overview,TRUE,0,,82.81,68.69,14.0,20.07,120.28,73.4,,,82.81,75.0,PASS,
GTLB,Gitlab Inc.,NASDAQ,Technology,Computer Software: Prepackaged Software,25.62,25.62,3052961.0,4540830012.0,28.0,https://api.nasdaq.com/api/quote/GTLB/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/GTLB/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/GTLB/overview,TRUE,0,,89.27,66.78,98.0,88.09,95.88,40.42,,,89.27,75.0,PASS,
HIMX,"Himax Technologies, Inc.",NASDAQ,Technology,Semiconductors,19.89,19.89,4287841.0,3669921231.0,23.7,https://api.nasdaq.com/api/quote/HIMX/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/HIMX/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/HIMX/overview,TRUE,0,,95.88,116.04,97.0,81.99,107.76,41.78,,,95.88,75.0,PASS,
HLIT,HARMONIC INC.,NASDAQ,Technology,Radio And Television Broadcasting And Communications Equipment,12.7,12.7,12974029.0,1649145827.0,15.0,https://api.nasdaq.com/api/quote/HLIT/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/HLIT/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/HLIT/overview,TRUE,0,,100.38,65.08,91.0,54.39,167.36,20.5,,,100.38,75.0,PASS,
HYMC,HYCROFT MINING HOLDING CORP,NASDAQ,Basic Materials,Precious Metals,33.29,33.29,1362413.0,2952774624.0,,https://api.nasdaq.com/api/quote/HYMC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/HYMC/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/HYMC/overview,TRUE,0,,94.67,94.44,17.0,21.77,157.35,77.23,,,94.67,75.0,PASS,
ICHR,"ICHOR HOLDINGS, LTD.",NASDAQ,Technology,Semiconductors,65.32,65.32,1111021.0,2404431975.0,77.0,https://api.nasdaq.com/api/quote/ICHR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ICHR/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/ICHR/overview,TRUE,0,,81.92,63.53,56.0,48.68,115.17,50.4,,,81.92,75.0,PASS,
